code,name,swatch,iscool
B47-087-258,Resene A B Sea,jpegs/Resene_A_B_Sea.jpg,true
V28-029-328,Resene Ab Fab,jpegs/Resene_Ab_Fab.jpg,true
B63-019-235,Resene Abacus,jpegs/Resene_Abacus.jpg,true
Y67-035-088,Resene Abanakee,jpegs/Resene_Abanakee.jpg,true
Y90-013-085,Resene Albescent White,jpegs/Resene_Albescent_White.jpg,true
B32-019-258,Resene Allegro,jpegs/Resene_Allegro.jpg,true
N84-004-012,Resene Alto,jpegs/Resene_Alto.jpg,true
B35-028-231,Resene Aquarium,jpegs/Resene_Aquarium.jpg,true
Y61-022-084,Resene Arrowtown,jpegs/Resene_Arrowtown.jpg,true
B38-052-231,Resene Astronaut Blue,jpegs/Resene_Astronaut_Blue.jpg,true
N89-004-107,Resene Athens Grey,jpegs/Resene_Athens_Grey.jpg,true
B33-064-279,Resene Aviator,jpegs/Resene_Aviator.jpg,true
G33-009-187,Resene Aztec,jpegs/Resene_Aztec.jpg,true
G63-030-123,Resene Bach,jpegs/Resene_Bach.jpg,true
BR68-045-070,Resene Backcountry,jpegs/Resene_Backcountry.jpg,true
B46-084-237,Resene Bahama Blue,jpegs/Resene_Bahama_Blue.jpg,true
N37-002-259,Resene Baltic Sea,jpegs/Resene_Baltic_Sea.jpg,true
N91-007-103,Resene Barely There,jpegs/Resene_Barely_There.jpg,true
B29-009-283,Resene Style Pasifika Night Fox,jpegs/Resene_Style_Pasifika_Night_Fox.jpg,true
BR35-024-038,Resene Bean,jpegs/Resene_Bean.jpg,true
BR55-026-075,Resene Beaten Track,jpegs/Resene_Beaten_Track.jpg,true
Y35-024-081,Resene Birch,jpegs/Resene_Birch.jpg,true
Y84-026-074,Resene Biscotti,jpegs/Resene_Biscotti.jpg,true
O68-060-059,Resene Biscuit Brown,jpegs/Resene_Biscuit_Brown.jpg,true
N24-000-098,Resene Black,jpegs/Resene_Black.jpg,true
BR33-015-070,Resene Black Magic,jpegs/Resene_Black_Magic.jpg,true
B35-014-284,Resene Black Marlin,jpegs/Resene_Black_Marlin.jpg,true
B29-013-232,Resene Black Pearl,jpegs/Resene_Black_Pearl.jpg,true
BR25-010-052,Resene Blackout,jpegs/Resene_Blackout.jpg,true
Y88-015-078,Resene Blanc,jpegs/Resene_Blanc.jpg,true
B29-014-216,Resene Bledisloe,jpegs/Resene_Bledisloe.jpg,true
B39-058-260,Resene Blue Clouds,jpegs/Resene_Blue_Clouds.jpg,true
G63-014-149,Resene Blue Smoke,jpegs/Resene_Blue_Smoke.jpg,true
N28-005-068,Resene Bokara Grey,jpegs/Resene_Bokara_Grey.jpg,true
G79-015-099,Resene Bone White,jpegs/Resene_Bone_White.jpg,true
R45-110-038,Resene Bonfire,jpegs/Resene_Bonfire.jpg,true
N61-006-148,Resene Boulder,jpegs/Resene_Boulder.jpg,true
Y52-083-071,Resene Brazil,jpegs/Resene_Brazil.jpg,true
BR37-024-062,Resene Bronze,jpegs/Resene_Bronze.jpg,true
Y44-046-084,Resene Bronze Olive,jpegs/Resene_Bronze_Olive.jpg,true
Y44-044-085,Resene Bronzetone,jpegs/Resene_Bronzetone.jpg,true
O45-068-053,Resene Bull Shot,jpegs/Resene_Bull_Shot.jpg,true
N30-006-253,Resene Bunker,jpegs/Resene_Bunker.jpg,true
B32-030-265,Resene Bunting,jpegs/Resene_Bunting.jpg,true
G35-028-166,Resene Bush,jpegs/Resene_Bush.jpg,true
WW0812,Resene Bushtrack,jpegs/Resene_Bushtrack.jpg,true
R32-028-015,Resene Cab Sav,jpegs/Resene_Cab_Sav.jpg,true
V22-013-354,Resene Caffeine,jpegs/Resene_Caffeine.jpg,true
BR71-055-063,Resene Calibre,jpegs/Resene_Calibre.jpg,true
G36-033-117,Resene Campground,jpegs/Resene_Campground.jpg,true
BR78-045-078,Resene Canterbury Clay,jpegs/Resene_Canterbury_Clay.jpg,true
G89-010-157,Resene Carefree,jpegs/Resene_Carefree.jpg,true
Y67-029-083,Resene Cargo,jpegs/Resene_Cargo.jpg,true
BR78-038-061,Resene Cashmere,jpegs/Resene_Cashmere.jpg,true
B77-010-230,Resene Casper,jpegs/Resene_Casper.jpg,true
BR71-034-078,Resene Castaway,jpegs/Resene_Castaway.jpg,true
B39-018-280,Resene Catwalk,jpegs/Resene_Catwalk.jpg,true
BR34-009-020,Resene Cave Rock,jpegs/Resene_Cave_Rock.jpg,true
B43-028-245,Resene Cello,jpegs/Resene_Cello.jpg,true
G36-020-170,Resene Celtic,jpegs/Resene_Celtic.jpg,true
B48-043-265,Resene Chambray,jpegs/Resene_Chambray.jpg,true
V75-014-303,Resene Chatelle,jpegs/Resene_Chatelle.jpg,true
N25-002-289,Resene Chimney Sweep,jpegs/Resene_Chimney_Sweep.jpg,true
Y75-038-086,Resene Chino,jpegs/Resene_Chino.jpg,true
N28-008-243,Resene Cinder,jpegs/Resene_Cinder.jpg,true
G33-034-188,Resene City Limits,jpegs/Resene_City_Limits.jpg,true
BR37-029-068,Resene Clinker,jpegs/Resene_Clinker.jpg,true
G43-044-119,Resene Clover,jpegs/Resene_Clover.jpg,true
R36-024-030,Resene Cocoa Bean,jpegs/Resene_Cocoa_Bean.jpg,true
BR32-019-058,Resene Cocoa Brown,jpegs/Resene_Cocoa_Brown.jpg,true
BR33-023-065,Resene Cola,jpegs/Resene_Cola.jpg,true
V71-052-295,Resene Cold Purple,jpegs/Resene_Cold_Purple.jpg,true
R80-015-023,Resene Cold Turkey,jpegs/Resene_Cold_Turkey.jpg,true
BR63-043-079,Resene Colins Wicket,jpegs/Resene_Colins_Wicket.jpg,true
N87-002-093,Resene Concrete,jpegs/Resene_Concrete.jpg,true
R33-031-016,Resene Contraband,jpegs/Resene_Contraband.jpg,true
G78-010-098,Resene Copyrite,jpegs/Resene_Copyrite.jpg,true
Y73-019-081,Resene Cougar,jpegs/Resene_Cougar.jpg,true
G37-047-164,Resene County Green,jpegs/Resene_County_Green.jpg,true
R32-034-017,Resene Courage,jpegs/Resene_Courage.jpg,true
V37-018-345,Resene Couture,jpegs/Resene_Couture.jpg,true
WD001,Resene Crowshead,jpegs/Resene_Crowshead.jpg,true
BR79-040-076,Resene Crusade,jpegs/Resene_Crusade.jpg,true
WD015,Resene Daintree,jpegs/Resene_Daintree.jpg,true
O57-078-063,Resene Dark Buff,jpegs/Resene_Dark_Buff.jpg,true
G46-012-198,Resene Dark Slate,jpegs/Resene_Dark_Slate.jpg,true
R37-059-029,Resene Dark Tan,jpegs/Resene_Dark_Tan.jpg,true
N69-004-123,Resene Delta,jpegs/Resene_Delta.jpg,true
N30-006-032,Resene Diesel,jpegs/Resene_Diesel.jpg,true
BR49-024-061,Resene Domino,jpegs/Resene_Domino.jpg,true
BR45-009-002,Resene Don Juan,jpegs/Resene_Don_Juan.jpg,true
BR57-027-064,Resene Donkey Brown,jpegs/Resene_Donkey_Brown.jpg,true
BR53-024-079,Resene Double Arrowtown,jpegs/Resene_Double_Arrowtown.jpg,true
G72-016-092,Resene Double Ash,jpegs/Resene_Double_Ash.jpg,true
Y85-019-079,Resene Double Blanc,jpegs/Resene_Double_Blanc.jpg,true
BR46-024-045,Resene Double Buffalo,jpegs/Resene_Double_Buffalo.jpg,true
BR30-012-013,Resene Double Caffeine,jpegs/Resene_Double_Caffeine.jpg,true
BR68-044-073,Resene Double Doeskin,jpegs/Resene_Double_Doeskin.jpg,true
